"","X","AD","AL","AT","BA","BE","BG","BY","CH","CY","CZ","DE","DK","EE","EL","ES","FI","FO","FR","GG","HR","HU","IE","IM","IS","IT","JE","LI","LT","LU","LV","MC","MD","ME","MK","NL","NO","PL","PT","RO","RS","SE","SI","SK","SM","TR","UA","UK","VA"
"11","1958-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1958-12",0.541517066955566,0.151487566253947,1.32600773707477,-0.334840918546715,0.642475882756832,-1.13895643317662,1.5784464477167,0.702895335909163,-0.920587288549072,1.20077932905169,1.0184613464286,0.680904783547717,-0.448470314949888,-0.916820858006309,0.171933065303896,-0.578098892555461,0.146913612324242,1.13898380620592,1.05326497554779,-0.266529709899106,-0.185880266569011,0.988487253291198,0.752803394088039,-0.547176145327986,0.315983812169377,1.11061990261078,0.200693711638451,0.595759209468961,0.531991794347763,-0.23206098507805,0.808678448200226,0.221376941248273,0.18326114045663,-1.20448720327407,0.49466664331044,-0.522686659568726,0.915097628407965,-0.254906015327039,-0.224260867123793,-0.903443793441386,-0.229738296901565,1.05284487517633,0.723962355969719,-0.291973412036896,0.0700818118157987,0.55037901849505,0.673143426928497,NA
"13","1959-01",0.31645765453577,0.440056023004687,1.12750986091589,-0.104733479201846,0.708248236293918,-1.40595842825435,1.54879712964942,1.30958023688987,-1.41812357588818,1.03707037697785,0.929100964118266,0.835910060165778,0.162275802498696,-1.02464925965465,-0.00844658968369192,-0.232228278239234,-0.04200378517502,1.05669058029379,1.13875651359558,-0.186718163570312,-0.160455792387204,0.613156200009208,0.213126692507002,-1.30837376196853,0.238011604092868,1.05252158641815,0.313762903213501,0.845863168876187,0.441707124233246,0.323812213315912,0.713543474674225,0.253630669303352,0.42865525260197,-1.21814898225321,0.560413429792461,-0.229656037384953,0.907364745494376,-0.0838361882852467,-0.116346303452431,-0.882074175952785,0.442997874744831,0.628478577871073,0.727172241283732,-0.188327044248581,0.128130595265825,0.681638601855617,0.784664406383699,NA
"14","1959-02",0.858325922489166,0.268473847337097,0.124873000533964,-0.464127504893982,-0.00408829208511007,-1.36728717868702,1.05146462407851,0.340825429633762,-1.26911779877387,0.639440831469236,0.226442737109633,0.191695819282333,-0.0502526424967859,-1.0202428583409,0.0893763672428152,-0.42443790203174,0.0517791964645897,0.485920861610426,0.440239638090134,-0.585130596355174,-0.425431812809993,-0.203863722193183,-0.445533487531874,-0.683402544027397,0.028496234177925,0.39426264166832,-0.537799954414368,0.364020726404273,-0.261514006242156,-0.0378148540069924,0.658465921878815,0.0292005527255464,0.204590893404598,-1.25579505024431,0.0972181619165333,-0.172549558655284,0.486604513116994,-0.0822207624219449,-0.400267382340906,-1.07137952025775,0.192425082592135,-0.102919372226458,0.277780501155614,-0.0796300545334816,0.386030401588685,0.370409723369439,-0.0530592668228492,NA
"15","1959-03",0.986421720186869,-0.246269199662363,-0.191181897691715,-0.837420509758242,0.201520281814105,-1.74012311942689,0.486392315820827,0.529559699539144,-1.19169891523687,0.132977753501054,0.111704275716886,0.237103227998277,-0.200636560866416,-1.26616745688147,0.119094011805444,-0.475652187901339,-0.095008150925712,0.507268249171774,0.496682465076447,-0.735839390446932,-0.686913131957218,-0.126055674235266,-0.200738581242385,-0.181757692881945,0.116827085133262,0.275487422943115,-0.72714239358902,0.1009863438022,-0.00870422160625458,-0.190903187241235,0.724064290523529,-0.379637378978255,-0.493456565869191,-1.89355340070135,0.212460571865722,-0.0715547946868629,0.00166827723623375,0.239845451962248,-0.638704534932092,-1.57424877950698,0.0615949451144157,-0.0461672588674309,-0.169540347682316,-0.00207857554778457,-0.117040405677264,0.0970893149011183,-0.0855604497391297,NA
"16","1959-04",1.07973224322001,-0.506974840829779,0.0370491732993807,-1.19986709150085,0.117817976579812,-2.20280536066375,0.330072889671233,0.38869304422697,-1.23437426968625,-0.0814863159116054,0.0478321605259229,0.464272490838364,0.00509016973334443,-1.2993992479145,0.220057039397632,-0.386336398995979,0.154667097136437,0.628394152247941,0.903253495693207,-0.857054246255335,-0.722017856284116,0.288190132056525,0.0435102388814644,-0.348057746118944,-0.111571140279547,0.599853515625,-1.12824881076813,0.123018431401983,-0.0272352953851223,0.0465735999691685,0.654708921909332,-0.928523275174132,-1.04412854386256,-1.99500474774881,0.197677386566854,0.0056257951213951,-0.241982534707524,0.591939545559842,-1.26490578914823,-1.90711084435678,0.145401362820679,0.338851404119029,-0.201850300491058,-0.430410802364349,-0.357145296722616,-0.208299189927597,0.156203982117129,NA
"17","1959-05",1.36383725007375,0.0181093450360422,0.868709786419771,-0.677441407356737,-0.233019519857777,-1.756421225588,0.192634959066298,0.520378562590116,-1.17373332020484,0.0320491800867534,-0.27096721211674,0.176958043624957,-0.395897076152938,-0.994323967010803,0.531471634297816,-0.67590623954174,-0.0944227280597838,0.375115815173604,0.647415935993195,-0.178172654112648,-0.0337592739747717,-0.20639261988353,-0.457705488911381,-0.182428612474159,0.328078661752168,0.350372284650803,-0.668241322040558,-0.17652581530262,-0.560013790607452,-0.314807787528032,1.05264103412628,-0.475326585104342,-0.410207489533211,-1.09064878374742,-0.122173418430357,-0.112342444780083,-0.279881794668852,0.824993245355123,-0.893269378006865,-1.4130630193641,-0.0313778779637412,1.58175195206284,0.301125637229555,0.0305361691862345,0.17069218343959,-0.0345732229030754,-0.283444904779726,NA
"18","1959-06",1.35347599983215,0.394489004269906,1.09310103467809,-0.139241846192822,-0.554533249943007,-1.45974393064828,-0.579488439099976,0.595305389639127,-1.2159955159614,-0.396242168622711,-0.870220466316485,-0.0741954834472792,-0.678962035783466,-0.811079522489777,0.465516537319877,-1.45712827554328,0.108412766326514,0.105452660811092,0.0842645168304443,0.0821064578612859,-0.254061005819427,-0.696095090545447,-0.960293630758921,0.325114124591833,0.392123463688665,-0.222514107823372,-0.540789306163788,-0.313260003371405,-0.723669764995575,-0.417806841134554,0.856649458408356,-1.20562945343896,0.115634790410104,-0.486819680294338,-0.38591445426309,-0.174180507531678,-0.603981342508198,0.693255386149421,-1.07950926579075,-0.901819449825991,-0.249817305634876,1.86143252477938,0.271259675577532,-0.325876146554947,0.0462530994132873,-0.849694875142584,-0.570833056328694,NA
"19","1959-07",0.894543663660685,0.516191652730892,1.12831186174753,0.415399255909992,-0.790555496896364,-0.92081337216225,-1.25530765113086,0.430933308070907,-1.19463525524265,-0.320835943755936,-1.42180820346051,-0.91571205866605,-1.12939276062364,-0.499739884312412,0.342639371508547,-2.14495814075958,0.25292185070141,-0.323588577216016,-0.070362001657486,0.384282133059258,0.488719321943282,-0.992045411750388,-1.31137348104406,0.423494894548957,0.408079604172137,-0.470717906951904,-0.859951674938202,-0.823586853957501,-1.10017273330688,-0.885121157134623,0.662566542625427,-1.30326329717578,0.381274346089235,-0.119779220059353,-0.875038699439314,-0.245790013741742,-0.46363241017787,0.604467882966444,-0.896387100835543,-0.30566515236126,-0.78605512581758,1.3964594444371,0.748799032016438,-0.339583724737167,0.0459112989183268,-1.33535888515224,-0.804214051458543,NA
"20","1959-08",1.26815931797028,0.925783079693675,1.14893908928338,0.916612638471301,-1.23779235534741,-0.455096685868345,-1.69598486926208,0.226414187821706,-1.18839630766919,-0.461069565995583,-1.64303134229304,-1.33333016680306,-1.31866712459984,-0.287974764993448,0.362783304022622,-1.34074750318373,-0.0128688093067871,-0.594262359983308,-0.399035036563873,0.656814907426445,0.337011974507743,-1.85263762218446,-1.95333542647185,0.767811899760992,0.753197585682709,-0.714455604553223,-0.416040301322937,-1.15159208412479,-1.29264426231384,-1.23271414623426,0.807893753051758,-1.92593231343348,0.914135468564619,0.316547435684809,-1.389499771595,-0.108689927463292,-1.12230203307557,0.572211034618742,-0.904432062735316,0.105829160420527,-1.11146771654484,1.23059152294342,0.367047658682429,0.294819205999374,0.108879098517699,-1.66652603197168,-1.23712839892241,NA
"21","1959-09",1.76144405206045,1.13480366424993,0.650173127904201,1.0489602222289,-1.62003098426346,-0.370728056487667,-1.5688435483419,-0.220141577332841,-1.12913601210243,-0.906545701460895,-2.0101092090142,-1.43950442456029,-1.10733238643743,-0.422225454547755,0.922623784610413,-1.14277087807299,0.155670482547037,-0.867179020067529,-0.925867915153503,0.701959181535377,0.360831961073336,-2.21126395573345,-2.63050799899631,1.07160880111714,0.987683453794974,-1.11116898059845,-1.07374787330627,-0.886489040948907,-1.58808105373383,-0.764824058368614,1.57502090930939,-1.36308405413905,1.17027342062487,0.376447646713913,-1.72211467359887,-0.0279537668062602,-1.42773901250952,0.848157593951715,-0.767726141001005,0.275440877516743,-1.07532785649586,0.893700196160526,0.119855595402622,0.472055941820145,0.0743643279422867,-1.37855274450018,-1.88943567850363,NA
"22","1959-10",2.22949040730794,0.700805891091042,-0.0992342182838205,0.579437505315729,-1.77797390674723,-0.501223170210347,-1.93841451289285,-0.334031321297796,-0.910556431820518,-1.55460488935529,-2.24800442774333,-1.56441399651315,-1.33937228331691,-0.184577676012988,0.97953951333668,-1.24939844578958,-0.0105419001054196,-0.830508650273994,-1.07482659816742,0.158357405577574,0.00461725427352058,-1.71289498817326,-2.10984159398962,1.09562880992775,0.859933228641247,-1.36019825935364,-1.53711402416229,-0.806212458649561,-1.81793358325958,-0.865512491710009,2.67135691642761,-1.65567539518397,0.542766823993987,0.263521983076411,-2.06436485455987,-0.314740776386497,-1.87026905167431,1.08419103239668,-0.972721029245233,-0.129678507204715,-1.18657147961835,0.382406617973892,-0.428621575299316,0.28675851225853,0.186305153904474,-1.62624595194363,-1.88994319196961,NA
"23","1959-11",1.9934893767039,0.512661034473207,-0.143721381456253,0.616185885963391,-1.86398477138687,-0.0023302803294497,-1.89286451558914,-0.219500708281143,-0.868317075622709,-1.67061520928457,-2.12662981340842,-1.32314109731397,-1.11334721769011,-0.229219729934538,1.27351050292742,-1.39879281231369,0.227912537990108,-0.818143421990863,-0.367437362670898,0.0932839283410703,-0.198766575575199,-1.2907165050172,-1.88101008203295,1.16583515770525,0.806254850103097,-0.930734157562256,-1.66730141639709,-0.648955388742239,-1.80275431442261,-0.747636512330349,3,-1.06669575289484,0.456955035590099,0.410958271648479,-1.98864425948409,-0.402311379564173,-1.77866175296801,1.37295633303333,-0.798326025678715,-0.0735661843116665,-1.17955183307732,0.141232437069729,-0.700148784218352,-0.121442154049873,0.447203134967984,-1.19469513710764,-1.2864000587543,NA
"24","1959-12",2.04574840863546,0.74505265166885,0.150781198434383,0.997542148970548,-1.94534703324124,0.340015474137853,-1.95658839753302,-0.131217832919201,-0.80960904814695,-1.35566873925013,-2.25956585906244,-1.29256193050943,-1.28165864832978,0.102836049090592,1.13254365164534,-1.62880272124071,0.313515692476242,-0.755497711840405,0.192280098795891,0.696270731095064,0.147967768812336,-0.838284127616539,-1.59864772249151,1.16531685289398,0.94606153776659,-0.558707058429718,-1.50094330310822,-0.966397399798441,-1.971062251091,-1.00040847191938,2.18685746192932,-0.741469509293544,0.481933303696303,0.672632361079704,-2.32186275596827,-0.410143450650686,-1.27653534040368,1.28190239240425,-0.614240768953654,0.0475422366267744,-1.30371660850307,0.606673390666106,-0.353807282532198,0.721509039402008,0.333890484560049,-1.06929132571782,-1.04892252315863,NA
"25","1960-01",1.98862428665161,0.456976439342325,0.380841121467674,0.774876572445918,-2.00052840788855,0.451737689426812,-2.06237344036005,-0.349930261105655,-1.16209279079186,-1.07944857029665,-2.1734472253623,-1.34541663587215,-1.94597635538416,0.182772753102086,1.21201482154118,-1.56703500195189,0.200268283131577,-0.92740665878033,0.0643300712108612,0.61094046228133,0.113824755296292,-0.502745128581206,-1.10880660789984,1.11035543800134,1.14846713310465,-0.669258177280426,-1.54591596126556,-1.27962627204908,-1.84912331485748,-1.68295043926837,2.66378688812256,-0.674991479771217,0.124602632696708,0.656172099661095,-2.38010850154637,-0.63092254694611,-1.11725756594901,1.24809574762806,-0.70164301559411,0.00792221076219147,-1.68724184602207,0.745148043655755,-0.421826595883031,0.924362540245056,0.118892819262332,-1.1483796860251,-0.812286309487702,NA
"26","1960-02",1.50452673435211,0.975510648894407,0.686558653046354,1.16091136686917,-1.87031012004667,0.702317882292538,-1.91924758576838,0.422842465439685,-1.57139199815298,-0.947563345528384,-2.0304055507304,-0.962515574131458,-1.80517851565289,0.414676599360851,1.60294034751695,-1.4270820179544,-0.061905519829856,-0.496928425202845,0.761201024055481,1.07866757860529,0.334638529540608,-0.00926156974106197,-0.687399050703755,0.908096861958473,1.69595968007762,0.0456615388393402,-1.05029857158661,-1.11637547109403,-1.6436950044632,-1.57583163050237,2.83860397338867,-0.45223195628471,0.585829653375617,0.85725312680006,-2.3490340754634,-0.869134776629099,-0.984602568505465,1.73658225254009,-0.527171206213946,0.280299312880363,-1.53669216137415,1.15885578526965,-0.291429036721152,1.27736878395081,0.136029660098602,-1.04182168240547,-0.352559564687381,NA
"27","1960-03",1.48083146413167,1.19691696456569,1.07255281856404,1.04727103339327,-2.05439079165611,0.765368466323206,-1.81006213436931,0.208514612653309,-0.573291523127179,-0.537268983971629,-2.06314331582127,-1.12262833510013,-1.62642456914421,0.368216866943494,1.70815628660077,-1.51313017420742,0.00960422395211127,-0.493437158561378,0.679748058319092,1.19927407805979,0.488473632857592,-0.101122064603932,-0.542275256580777,0.806804311317011,1.83641831673055,0.0223147720098495,-0.931992292404175,-0.925564624979383,-1.87883221817017,-1.39505148197892,2.82696032524109,-0.397306539538667,0.859593786012727,0.954236893877656,-2.4887721512487,-1.01461531847033,-0.924678418063209,1.62818705964317,-0.420110200799501,0.302537394223278,-1.59695382234575,1.3870741254201,-0.229612847738015,1.29928457736969,0.311717456705002,-1.15462244572015,-0.432859122281884,NA
"28","1960-04",1.18742458820343,1.73836952920867,0.633192708671192,1.0055420992457,-2.0477478342038,1.19512844399523,-1.76084999151766,0.0752149308723802,-0.463523385693368,-0.554901055347637,-2.18427664039833,-1.48651522227348,-1.71761817321855,0.350152828195402,1.58421993505943,-1.73982524289971,-0.287505203532794,-0.83523941183785,0.330850183963776,0.95997522765677,0.187047361838991,-0.307548463807018,-0.330455023381445,1.00397305921655,1.80177857122561,-0.31723290681839,-0.67156183719635,-0.918520126334664,-1.89005237007141,-1.49428302425112,2.95538115501404,-0.41703934815886,1.03033498300249,1.15968858076777,-2.66120126599171,-1.00451622982356,-0.967930446445438,1.41025098277368,-0.279846930676449,0.436554847340459,-1.87333686523338,0.521193175652303,-0.370303195206126,1.5447371006012,0.856333543494177,-1.39983988572274,-0.592256036360195,NA
"29","1960-05",0.937604633967082,1.27040909354986,0.191482764388903,0.676518931301,-1.91356143062294,1.31146673503369,-1.58870043819538,0.0337844814121197,-0.541377436487298,-0.666332137901421,-2.07982797348257,-1.37001327259622,-1.62669150966064,0.467344238716866,1.28342754586302,-2.16096006094578,-0.306956411354125,-0.825727874690748,0.494627892971039,0.612806686852276,-0.0980382968017497,-0.0820135820718955,-0.028035475148095,0.977077149720342,1.51141966736613,-0.151721835136414,-0.892867803573608,-0.835280411608365,-1.86924463939667,-1.34819845549672,2.18230247497559,0.131732754317605,0.516164136565542,1.15572590469668,-2.53838611456866,-1.03095601321886,-0.864105207423668,1.36325622007354,0.0921215485420418,0.290454497584294,-1.829647560606,-0.163202492889513,-0.334098000775066,1.50548005104065,0.561780146891782,-0.919203347747544,-0.483084414614354,NA
"30","1960-06",0.693657541275024,0.686486453421203,-0.458914499204902,0.159070907504234,-1.6871208406195,1.45494924508766,-1.37348502518417,-0.0334431585997389,-0.590695368694632,-0.43124155256512,-1.74618197456535,-0.964720273700472,-1.70234912858979,0.466539009400483,1.31920396424726,-1.66742826392737,-0.406835461419726,-0.757809976960621,0.537880897521973,-0.0506973808551091,-0.445888320831312,0.107281777189847,-0.298599167692441,0.648431134753032,1.33395141277278,-0.104500964283943,-1.14540505409241,-0.726341007311328,-1.78230836200714,-1.43986354057388,2.05799603462219,0.0719758760468858,-0.171296725621073,0.919685368637961,-2.13037985354825,-0.822451550418292,-0.634116374741226,1.33049554843208,0.00889019633453113,-0.190501854000496,-1.56553012347191,-0.877636997600289,-0.407518577544575,1.61623466014862,0.649502323181849,-0.874696837609846,-0.599799979481417,NA
"31","1960-07",0.913263964653015,0.662145922987567,-0.325566517690484,0.345791991828018,-1.27716657245296,1.20086096212074,-0.483644030902873,0.235073480169329,-0.61245949464409,-0.449046334383655,-1.28629115383786,-0.183250406509835,-0.931605600061656,0.272842334231525,1.51254477737765,-1.28653225620896,-0.70517689462692,-0.246508673452421,1.3589346408844,0.451067612188582,-0.195434615453756,0.524958493435786,0.00114072252202918,0.781295617869025,1.51216528974181,0.56381893157959,-0.939998984336853,0.220621499262091,-1.47242844581604,-0.46803331388709,2.26005601882935,0.253691922540603,-0.0478578194308637,0.793881098312807,-1.46634125976615,-0.684977078163988,0.203222533513301,1.3375174619301,0.204520432362604,-0.0996810899654644,-0.894865622960035,-0.386450230042054,0.296263374236562,2.39227437973022,0.607848015208894,-0.303494282713589,-0.420670121808014,NA
"32","1960-08",0.761729780832926,0.175783265220672,-0.308793076345539,-0.348515505943569,-0.916108438148048,0.706203698803154,-0.157044337023275,0.77100758250275,-0.567896121583487,-0.0514283770457161,-0.822026976353904,-0.0780520900139292,-0.540790568222997,0.0928016819186453,1.5237281103431,-1.55866596169739,-0.857737749341934,0.173580309179528,1.71021735668182,-0.0313879453511745,-0.096097671527402,1.43352482023003,0.510257796004966,0.267713795648828,1.30254861934611,1.37152469158173,-0.596027255058289,0.588994557790072,-1.07554998207092,0.061424454832209,2.27074289321899,0.20448469266022,-0.642742156364629,0.280344451394349,-0.783655951208756,-0.791598210309527,0.829728949782411,1.44927676449045,-0.0965167323296287,-0.424554898777379,-0.00642397072749953,-0.504262575566898,0.589059423555723,1.85741913318634,0.636077146652142,-0.0752452214175612,0.104078395500318,NA
"33","1960-09",0.347618099053701,0.274117268060866,0.439293290741987,-0.141404732655724,-0.211545746452336,0.827850302373689,-0.0351229251072381,1.46102314164014,-0.670357792785293,0.410103892559737,-0.319813628702369,0.189781405123099,-0.537663949317739,0.287884983169567,1.09636607498338,-1.70403759111197,-1.04616361194187,0.541605393324599,3,0.666812451630964,0.11533938559436,2.08874798527088,0.867977186485573,-0.127752777126944,1.4834191662972,3,-0.270862102508545,0.570704982238663,-0.633798247098923,-0.209605595554016,3,-0.147173999187277,-0.666791506272248,0.560168411421324,-0.316297494829251,-0.996002668106111,1.10150942226405,1.31134126659786,-0.273418011943672,-0.31597643998692,0.104920579937177,0.426234725738632,1.01350592225479,1.70101261138916,0.457487500334483,-0.297792141821262,0.729690358932791,NA
"34","1960-10",0.68530019124349,0.508155863391243,0.938496661788566,0.21100753939621,0.362793722646109,0.673512450240134,0.318084134647351,1.72450514987969,-1.00378105561984,1.27436005672932,0.258419816463227,0.292751833121149,-0.633028977514858,-0.121172630267268,1.66248601617204,-1.72760592711994,-1.4383007609655,1.28082267430576,3,1.31409505207502,0.772075211959714,1.47962354474502,0.647415847690017,-1.26303857929434,1.68418921998321,3,0.124790228903294,0.422439085343713,-0.123681082606316,-0.12846652968798,3,0.238265201139523,-0.232990497800446,0.282936354258538,0.229890579802539,-1.15812479227328,1.32609180153324,1.76856044140792,0.0772699794178441,-0.0611126490422887,0.0718166483280096,1.18793608052888,1.48569118284731,2.11558890342712,0.189472151782582,0.435390703230852,1.13427770961997,NA
"35","1960-11",0.599667807420095,0.808509040574132,0.97422503151083,0.598051539626357,0.953350397742723,0.422892531997245,0.641255340641,1.90290382416116,-1.01886697082143,1.28921431377796,0.518364371080338,0.716538347136267,-0.346173465669973,-0.121948546851459,1.59438056590172,-1.64596147445919,-1.83352828593481,1.53092749372559,3,1.68769610118852,1.23728008031805,1.72865340585033,1.11267201988785,-1.69415742547558,1.60148671972724,3,0.306939005851746,0.692084982914179,0.247171028912067,0.147204250166989,3,-0.139022364115716,0.00879464217401411,0.355616304162715,0.745577110260562,-1.20898167183222,1.39202224560565,2.15176756709323,0.189350920184094,-0.0456143543079672,0.376172587767135,1.26986745358288,1.75637689298777,2.32313132286072,0.0438423748668829,0.607558961318533,1.11119769679896,NA
"36","1960-12",0.523204723993937,0.899817606432718,0.471731795441934,0.07893054165145,1.09963444476688,0.94988018261352,0.728925697452279,1.55385017671082,-1.33275661343022,0.914201399739367,0.848361637763631,0.868523480132192,-0.0518775195832917,0.605680836391327,1.62245346821981,-1.459064713674,-1.78414716607048,1.38684853332474,3,1.15036282203223,0.846751336180715,1.18714448752967,0.350435241504952,-1.17731728120756,1.57543180409486,3,0.0749684050679207,0.866080893216287,0.299639644384384,0.391060981570812,2.15446305274963,0.0329488916453601,0.0922768032101059,0.604865536147507,1.10906590402452,-1.17899385880315,1.1020986502294,1.96725993128548,0.181163866107171,0.0842605951609147,0.461550192028773,1.02260084519665,1.33547738177667,1.49733066558838,0.147382193527225,0.705120412254683,1.04524090647437,NA
"37","1961-01",0.543285858631134,0.925780561115397,0.226348041074666,-0.2504504213154,1.41993100162819,0.851635683717716,0.533842072817514,1.57974291018674,-1.89726935907414,0.617712239322542,0.808124351248764,0.664889144103647,-0.0747069578964859,0.752612054063485,1.3727981901356,-1.26675064855703,-1.76776824300251,1.54159436048905,3,1.04957411413273,0.815541300317526,1.42169966241512,0.46163811120722,-0.726299040411045,1.56179925302378,3,-0.0967488586902618,0.741405972183055,0.636574408531189,0.34441544011463,2.12892484664917,-0.127452656820371,-0.0568271368698744,0.665121848994214,1.27438865105311,-1.28338827000786,0.959624910894909,1.94879253309246,0.0711623282381082,-0.18046641545314,0.415619183649057,1.3569463338715,1.16468934598136,1.76296615600586,-0.0135142998372937,0.552296297976304,0.899920359232953,NA
"38","1961-02",0.643080536524455,0.437239363125944,0.380959810441666,-0.411910857722518,1.48940556069139,0.717312941887459,0.48727978576568,1.21098495389421,-0.537237178597991,0.803955179693721,0.919999703675792,0.585884427329895,-0.155878573188264,0.810821871567452,0.847208625922744,-1.17961859195893,-1.56707562151409,1.45547563747652,3,0.685493295753829,0.852496238922727,1.39461912589779,0.517732009291649,-0.522673666240851,1.33905376641437,2.58626914024353,-0.199720710515976,0.629714368882329,0.767310459136963,0.263968976460492,1.77521657943726,-0.125644031472345,-0.444982051948212,0.479850370894163,1.39671460233751,-0.974862741132561,1.08465029195224,1.06146262337368,-0.000451738810970975,-0.404920098236347,0.472804265897454,1.04343692271416,1.53473729374264,1.38220918178558,0.0867950437301325,0.538700966991123,0.74383206406966,NA
"39","1961-03",-0.0130516928931077,0.0468846379835837,0.01428908098806,-0.568472752345945,1.40411638836751,0.826968727821379,0.713094625860665,0.866416704505063,-1.15681553169301,0.541739169130566,0.969429945630846,0.645271887081715,0.198002596617156,0.827557508130131,0.333884967762091,-0.839485375127868,-1.40251039512574,0.81306776817486,2.23469591140747,0.264121394965388,0.608374053780002,0.926083800883867,0.0966561414577343,-0.333132417595237,0.684083358700635,2.01385641098022,-0.248796582221985,0.755188484609026,0.737073145151138,0.48351678609042,1.01244926452637,-0.279645649510057,-0.65712634617367,0.387683101000923,1.4150948427414,-0.322112538390149,1.18727191973901,0.465051839607909,-0.0603841608363301,-0.479969649328407,0.580192449748286,0.416202561501999,1.29778825091451,0.719202518463135,0.00671561037688208,0.641842817980159,0.530474963544994,NA
"40","1961-04",0.544917716582616,-0.248535421035188,0.0526854267844291,-0.541157387305521,2.06884382815501,0.380917986953986,0.691806651597173,1.0979971318077,-1.11499994679501,0.493993980992468,1.21401431631786,0.695185859434322,0.251322763669396,0.574960688010597,0.663057143065965,-0.770137336575693,-1.47029450015416,1.13501205693548,3,0.481378225243518,0.575160690744707,1.36486428190096,0.332213668635598,-0.447841532966726,0.634326704481044,2.85819005966187,-0.399283826351166,0.427773318820867,0.995288478851318,0.347423967445695,1.43789935112,-0.152771770608375,-0.761243475857461,0.158561375402318,1.66116894867902,-0.405483043324092,1.06391258293127,0.719657043293158,-0.0374469365422674,-0.520096366758218,0.450988014481864,0.534988577890322,1.00315818129757,0.788061022758484,-0.656103683584248,0.708278396760833,0.788840872250033,NA
