"","X","AD","AL","AT","BA","BE","BG","BY","CH","CY","CZ","DE","DK","EE","EL","ES","FI","FO","FR","GG","HR","HU","IE","IM","IS","IT","JE","LI","LT","LU","LV","MC","MD","ME","MK","NL","NO","PL","PT","RO","RS","SE","SI","SK","SM","TR","UA","UK","VA"
"11","1958-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1958-12",0.227821845809619,0.375666293605921,1.260303660004,-0.171708850939705,0.650671071647684,-1.12778642399876,1.51741543312381,0.744514534668441,-0.172965798860318,1.28465785654912,0.974941460473305,0.368706740956974,-1.08930487602174,-0.7336632459263,-0.150861266875108,-1.04795847122152,0.276073130113738,0.908858953244531,0.831446468830109,-0.00665937533432787,0.228182421921974,0.779241233437455,0.792366155871639,-0.507507149620954,0.315805555138012,0.894543170928955,0.255563855171204,0.239964387822313,0.625610196352005,-0.827905632039011,0.84171062707901,0.491862946942403,0.324094972577854,-1.1440694661885,0.393667983345158,-0.656725345470914,1.05741426833067,-0.439755735635918,-0.0763686540263965,-0.750051089028617,-0.520923544886495,1.35091192175998,1.18602194699745,-0.29716295003891,0.0118779577791852,0.732831223786759,0.450592749673438,NA
"13","1959-01",-0.00176574302216371,0.650656197515697,1.06165344185794,0.092154237340613,0.708740405529014,-1.39759831805245,1.33232793672196,1.29681290493196,-0.641390116787271,1.13068377011955,0.905360764857377,0.590937591187184,-0.329595063445744,-0.842010120621815,-0.272144339385101,-0.639970840727035,0.047566451930574,0.908354406438553,0.914462447166443,0.119022820216189,0.284586930605025,0.366509872656802,0.230627153206755,-1.1365463834975,0.250933513579981,0.849156856536865,0.390669256448746,0.519621936409627,0.52693937087059,-0.113470763444771,0.765232026576996,0.545873748324811,0.601990810322079,-1.11646231651535,0.45976476178306,-0.382241240007415,1.10381018332464,-0.119127118308444,0.0663025347322095,-0.692556492127028,0.185553717001563,0.910208879771238,1.24539142900257,-0.147482141852379,0.085190278014458,0.875813519525163,0.501953295165981,NA
"14","1959-02",0.631959327061971,0.463186438010651,0.277362608759947,-0.322698437221618,-0.104574900772006,-1.46002417174541,0.883308521152677,0.376214561603584,-0.54911894833571,0.723222660113333,0.14773200687183,-0.105484680874094,-0.503625744314732,-0.903263809189262,-0.152871068278155,-0.754306365572946,0.185884885194283,0.317218753602686,0.2149917781353,-0.336487283822494,-0.10940345299486,-0.336697921334661,-0.487367577022976,-0.590140191841726,0.0730681506084446,0.137180030345917,-0.452331960201263,-0.00544325952627221,-0.3335803129673,-0.497546121324415,0.72249174118042,0.20182396103984,0.331730465736753,-1.19926500877211,-0.135394583680397,-0.279110785477342,0.543733624724783,-0.140418301848422,-0.341784837160301,-0.992326063558152,-0.0296118345004617,0.246743089372125,0.705706939057667,-0.0776723921298981,0.285661318329657,0.451021892700629,-0.191781103889233,NA
"15","1959-03",0.799692368507385,-0.0232968611609726,-0.00960483934026008,-0.655531799922133,0.176745864792845,-1.74350963857149,0.270825110586174,0.584512337118186,-0.766335122208846,0.22683767153794,0.125984409491364,0.11817534600436,-0.587163500506384,-1.09049834867014,-0.0729257997889927,-0.731793177927618,0.0248771639511226,0.393312686823352,0.370327740907669,-0.418620959687027,-0.343909909888703,-0.200379953842149,-0.206360077416455,-0.146613626173807,0.163631028053339,0.105025708675385,-0.650295257568359,-0.238935976066962,-0.0071138313189149,-0.608058913000631,0.801774799823761,-0.163744293508727,-0.370218029514474,-1.53187787277281,0.0700582800646786,-0.146982519622231,0.0658593473087763,0.237315202584408,-0.521588889131912,-1.50238444471275,-0.0609455293198909,0.326722832772738,0.180911275811322,-0.0345974639058113,-0.364617124416152,0.160864265056796,-0.200541004777259,NA
"16","1959-04",0.983589665095011,-0.258131845723762,0.348755721132554,-1.04628084614439,0.200463501077578,-2.34118116481606,0.308432449231623,0.455813370242939,-0.800531997414012,0.242248546353945,0.16940421675665,0.518362310692927,-0.288664845713571,-1.10017708948125,0.0636912256139123,-0.613260642841934,0.284192330780483,0.612304979321416,0.841548562049866,-0.442538468336517,-0.180207218379864,0.257680784511118,0.0650753133274891,-0.342146364224143,-0.0186516861319055,0.559684455394745,-1.02056694030762,-0.0408380107902827,0.0739915872216225,-0.198651046935728,0.840064585208893,-0.714326478572796,-0.974321941095466,-1.64325029058685,0.136811200046881,-0.0385989044756316,0.0390549009804868,0.534082874786188,-1.17880287113087,-1.90057351499811,0.121741155232762,0.851361028842006,0.335745800380344,-0.325536638498306,-0.578510396461762,-0.0508566208943818,0.0682035443946704,NA
"17","1959-05",1.28641240596771,0.180802762826626,0.935392963241517,-0.591088941598201,-0.206253035013037,-1.96312828583946,0.0296446952045799,0.570362218937894,-0.796954689370958,0.0501200631222917,-0.293238465161607,0.0488332110757088,-0.692323994362613,-0.892607412798758,0.361490795246123,-0.8032876444794,0.0981798147161802,0.308179412047013,0.633825421333313,0.031385965968751,0.234701333655393,-0.251204946358501,-0.490811155902015,-0.12465433279729,0.304678569621403,0.331512689590454,-0.558753430843353,-0.481485163521554,-0.53080073261261,-0.584500336409073,1.18822157382965,-0.414427062187811,-0.360864095080947,-1.01929238242928,-0.253800175777672,-0.13726026062027,-0.428681738326789,0.753639824922008,-0.885121843499239,-1.31467259243678,-0.0544433704163677,1.66176369066228,0.508209210988873,-0.0314818508923054,-0.159216488080623,-0.079953790208879,-0.297386027387677,NA
"18","1959-06",1.28498409589132,0.497215802914761,0.970798391764474,-0.132734213404757,-0.430962430740234,-1.53925545680863,-0.584481999793113,0.705015915559559,-0.880735186840359,-0.329711037549184,-0.717941121977968,0.0193597073219183,-0.895804657332405,-0.771814945624593,0.321365011603733,-1.37107990753616,0.288288814562654,0.113234461731867,0.241137370467186,0.205283822808519,-0.120088391577717,-0.649645359844413,-0.92978419860204,0.384335235975467,0.360839430312651,-0.137407436966896,-0.402849942445755,-0.490350333623031,-0.609040682792664,-0.639309744514833,0.995263993740082,-1.28306048594484,0.161857401504248,-0.574501961214125,-0.378501569650701,-0.154805370843135,-0.619378064514365,0.657367518793919,-1.14469006767289,-0.865109841243205,-0.233472026970325,1.61187445813889,0.432770593715968,-0.378413528203964,-0.30733907730597,-0.831766848556008,-0.483238845756758,NA
"19","1959-07",0.965265345573425,0.530815097026014,1.186900274058,0.332759867032656,-0.569435729015985,-0.997651133443251,-1.13809445252198,0.585685698074817,-0.813390657933135,-0.190102392983145,-1.13388486643843,-0.631988170688138,-1.06535303587108,-0.508169792403768,0.365169897049902,-1.80487464306766,0.451216575645265,-0.173049805529218,0.242497593164444,0.449341309938726,0.517865519215963,-0.927875300514997,-1.29445196522607,0.465477010375808,0.419203560492766,-0.114399835467339,-0.691141605377197,-0.753745470535593,-0.934124736309051,-0.830064505039929,0.854841530323029,-1.23639481330137,0.323798186026798,-0.248315458676848,-0.728634343642355,-0.175157378932198,-0.265702732814619,0.612240531546168,-0.943474979579311,-0.399744777878813,-0.657561722261655,1.48791955952267,0.840815019861081,-0.292099684476852,-0.261194892540082,-1.2453114370687,-0.675751296681664,NA
"20","1959-08",1.43407368659973,0.788281967861932,1.07586005650025,0.86706615683517,-1.1110174148171,-0.553728568687336,-1.33147920730965,0.321445928597518,-0.819031271181608,-0.302451559916989,-1.3240788030047,-1.00542975136351,-1.05453581361105,-0.37229680926745,0.429302176604033,-0.929786640481336,0.156132020795393,-0.409033625965882,-0.110706299543381,0.705090915994744,0.253063735897047,-1.93818722094168,-2.3097866376241,0.76513406057584,0.734308715065099,-0.455124497413635,-0.251062393188477,-0.945276500708392,-1.25706483459473,-0.984341286080578,1.01120400428772,-1.82044290307829,0.771374959672977,0.0818996252559314,-1.34402731497431,0.00178127632480808,-0.677357343203162,0.600312033471102,-1.0623334885364,-0.0888397387752702,-0.905381826936686,1.27826970654216,0.364476496264307,0.362258672714233,-0.175700648650254,-1.5993032154299,-1.1257354993095,NA
"21","1959-09",1.98868541717529,0.870076542151602,0.663823049628194,0.962249896904192,-1.62521252542315,-0.439859761323384,-1.15653635962498,-0.0742762811731095,-0.786137592243521,-0.875144227703448,-1.8367265708222,-1.1528982170429,-0.920548739684809,-0.539417794614377,1.03682842928752,-0.820464019318856,0.323876911567317,-0.652990048003757,-0.596175253391266,0.70163086417801,0.206053774897789,-2.45449555481363,-2.89688784104806,1.0694582908553,0.967778239610678,-0.840959310531616,-0.905498862266541,-0.692142553771434,-1.62914881515503,-0.516343236905284,1.54506897926331,-1.50671017195471,0.972530714240833,0.0993274812879115,-1.87334242687851,0.0983372819749895,-1.15798125209193,0.88816738328691,-0.937711223382268,0.0638640916067134,-0.903228299024164,0.994041289242221,-0.00808307413315101,0.377907633781433,-0.258196328744407,-1.29984015908424,-1.88428204311945,NA
"22","1959-10",2.37961185773214,0.597057300263088,-0.0932403371768971,0.48999528888373,-1.89865317563901,-0.628143630937891,-1.6419768936952,-0.14171584194877,-0.545561404849746,-1.64034888225736,-2.0064721794932,-1.10643596125039,-1.10054240172439,-0.251330105352136,1.0711897953678,-0.965128647049048,0.153145577876814,-0.528499019640852,-0.693723261356354,0.166976041035011,-0.149584577250685,-1.71590954423131,-2.42187143255163,1.2401262141174,0.881230749152334,-1.09683752059937,-1.52691829204559,-0.663090938692596,-1.90650365924835,-0.662018999213851,2.21190857887268,-2.11731661769593,0.448127449924129,0.0624796573160088,-2.09205144090079,-0.181608602715048,-1.58240320343659,1.14552768012474,-1.25404007096823,-0.349787242584039,-0.985193396969208,0.485521184145306,-0.598076062939579,0.295526683330536,-0.158242606506263,-1.73755997220925,-1.76061291196694,NA
"23","1959-11",2.08121290206909,0.405854469822788,-0.138170482466618,0.507338555331612,-1.79485076467957,-0.0888750478630075,-1.55234230983724,-0.0137052915325329,-0.526695921664175,-1.69662826665797,-1.82811085215811,-0.848639952258068,-1.00341909791907,-0.324084659239381,1.38716767609278,-1.07639433686727,0.460231145222982,-0.497971557519791,0.270931243896484,0.0320872780738808,-0.35257694560835,-1.06566571128134,-1.87884936067793,1.14549427620266,0.761855764204805,-0.393904358148575,-1.51900696754456,-0.500555063216459,-1.73265631484985,-0.553387605254016,2.42864799499512,-1.02022280955533,0.361789024093653,0.183337932042374,-1.83684313277729,-0.244994215000879,-1.59729164268409,1.44808527591981,-0.962414707016568,-0.24294009313637,-0.958028999943451,0.184088666120671,-0.890234850132391,-0.0366965048015118,0.145268692900305,-1.19495730951643,-1.02226653037318,NA
"24","1959-12",2.40849798520406,0.567143982471634,0.158448076324157,0.829454171304432,-1.98565797688556,0.27805009914679,-1.7793625010025,0.0436637057508591,-0.458889861797032,-1.36548741310797,-2.01010784306493,-0.720072924533901,-1.18840595246712,0.0177603777295015,1.28340533294475,-1.15223048701027,0.534326047651351,-0.393169423126801,0.932738661766052,0.656206459888336,-0.039254944987879,-0.482781681619686,-1.76248299634015,1.10828364446093,0.90053780833404,0.19199013710022,-1.33336067199707,-0.907433083243922,-1.9750783996582,-0.868598860032114,2.48072504997253,-0.635492635628818,0.343724964781175,0.385579357818038,-2.20932039432838,-0.278152785650062,-1.08240912993577,1.3721889395649,-0.729781453031413,-0.155397284507871,-1.08233869817387,0.684855582864545,-0.520733499667356,0.823138117790222,-0.0407466528124717,-1.11745392481941,-0.737793069648975,NA
"25","1960-01",2.30239346822103,0.300004124339776,0.418706201348658,0.65328315292162,-1.98238537731755,0.351138583750181,-1.97175151411961,-0.149761192073352,-0.835077222711161,-1.08687619280243,-1.88676512439969,-0.719188064095661,-1.7869457716529,0.0876591760220117,1.33274510136754,-1.24366836905952,0.408823388436484,-0.538208022877368,0.741375088691711,0.564092230870191,-0.0922145811551861,-0.119909108081268,-0.899454741566269,1.18119244993648,1.17928660003483,-0.0432998612523079,-1.3964204788208,-1.25716020202556,-1.74501394176483,-1.61450134333602,2.72914028167725,-0.570541025638945,-0.0424737746813404,0.371988531740026,-2.25870899313786,-0.473758079389846,-0.941262978413773,1.22289363898095,-0.861490911572385,-0.202242508551006,-1.4261495984465,0.859887330755511,-0.569375943917283,1.0316469669342,-0.360692686400217,-1.19699186323879,-0.423908459663533,NA
"26","1960-02",1.75919993718465,0.80331693415941,0.660504310171755,0.978670362869749,-1.62285507669242,0.652349319041485,-1.76594656435972,0.64241454650546,-1.24672672152519,-0.961087249606322,-1.63190698581771,-0.22124663110792,-1.71865340068241,0.321656707729544,1.72308809529634,-1.22268500666192,0.146139634743569,-0.0547972819828063,1.36705780029297,0.991726816361518,0.20561819999925,0.369374183164453,-0.379848860756115,0.81513165813479,1.65070452681906,0.668352484703064,-0.876061975955963,-1.09987656049076,-1.35031959152222,-1.54233673029532,3,-0.281501506865366,0.478273054581772,0.616015707004802,-1.90780871240168,-0.77025131247877,-0.86026016629148,1.68621873101423,-0.592766757234026,0.152785466421934,-1.30651102443213,1.16573384717381,-0.349050898566484,1.38189387321472,-0.249615279307247,-1.07703111416813,0.0656057173744264,NA
"27","1960-03",1.71816643079122,0.965678220939057,0.994223943682601,0.820093429881655,-1.90525951863553,0.603577045875131,-1.71799141987794,0.378710357873441,0.00364893641396377,-0.452514390955986,-1.62497269409052,-0.426658234172758,-1.68841631143043,0.239275807779843,1.78806347633165,-1.37219336299045,0.185919208659066,-0.0699329363437107,1.24288463592529,1.01070023705348,0.320154557215429,0.238392130591022,-0.22856158570007,0.732275652844565,1.78522258299517,0.591523170471191,-0.780370354652405,-0.935480446201198,-1.65651414203644,-1.44747619133523,2.89668107032776,-0.196161564289156,0.668897900094045,0.626920990975379,-2.16601225567646,-0.894124433462068,-0.722433880492927,1.54226209626497,-0.515271747213241,0.115121463707413,-1.43028250869913,1.31548561163868,-0.254038430677264,1.3954176902771,-0.0322342424851099,-1.19071043856281,-0.0384073217159995,NA
"28","1960-04",1.33236219088237,1.26087201790288,0.554876167164068,0.767416269534053,-2.06346704638629,0.913023124881942,-1.85712840473047,0.197985326464336,0.0879919315247159,-0.559229038927137,-1.74113101070523,-0.869094802700421,-1.83290766236363,0.229638986998912,1.66019326259549,-1.48404939038984,-0.110432425425166,-0.503874179906167,0.933660805225372,0.811760045081508,0.122834671822845,0.057371374274558,-0.00522679752773708,1.00831327631676,1.69443813456338,0.273493379354477,-0.539142370223999,-1.00245392104395,-1.79376316833496,-1.63494068431301,2.7001678943634,-0.212306516980382,0.812301280736849,0.927056925579744,-2.48227472722205,-0.907049245999906,-0.817593630455389,1.47152923818347,-0.369462690473345,0.261525759190812,-1.70168915867843,0.576801405083449,-0.37785918148845,1.55768871307373,0.46196846749358,-1.43129434462612,-0.22699743216225,NA
"29","1960-05",1.04590799808502,1.02081361993061,0.256770231083165,0.459235719854747,-1.71495896379914,0.914169246612891,-1.52608351248227,0.125234185644055,0.0730300217278694,-0.464075884758542,-1.49390446873183,-0.698411238028959,-1.70541982175958,0.313744613928895,1.44079018486274,-1.69242332008279,-0.0978030359579457,-0.428189351937106,1.06793260574341,0.478501068777962,-0.162638330032376,0.237833600105363,0.210387620660994,0.982789839623399,1.46403132109974,0.437645763158798,-0.761323869228363,-0.821125414176863,-1.74763996505737,-1.41351561105339,2.2536735534668,0.346884227514449,0.297640307353899,0.896135359330083,-2.14232773246661,-0.898682593209162,-0.519509449014615,1.46240572755734,-0.0689014995769686,-0.0176525174410569,-1.62928771860398,-0.0937980098058575,-0.216738717027771,1.66230416297913,0.222867139097452,-0.858589858898249,-0.142884502390297,NA
"30","1960-06",0.809610986709595,0.530617436267405,-0.424845158271677,-0.018071795886897,-1.58654603746507,1.02901976876829,-1.27984252218024,0.0710994714883615,0.0803597911604141,-0.381449502440652,-1.44101201146445,-0.595815400605553,-1.77107045799759,0.332483825652034,1.47372627201008,-1.28827638706443,-0.227990759270532,-0.40414852750891,1.19395232200623,-0.101871922526039,-0.447954225399956,0.446566017430868,0.0696931304755034,0.649775979672772,1.3271655329046,0.612281382083893,-1.05518770217896,-0.741728584137904,-1.81951651573181,-1.4810097275452,2.08866167068481,0.32346008313985,-0.398181204475574,0.558162360986701,-2.08666472682536,-0.687493842640205,-0.457269342244532,1.41677385597138,-0.0564228130269611,-0.542368731134307,-1.39293724693263,-0.877834441788083,-0.301365421056001,1.86376082897186,0.326938173560962,-0.827878621313105,-0.197623520283485,NA
"31","1960-07",0.944730758666992,0.505726358559933,-0.440381107429814,0.0373662163791989,-1.22084233081052,0.895843265487961,-0.42949476840545,0.294299829977438,0.0263078728788777,-0.666295420471199,-1.33341839516148,-0.0283646517278958,-1.03527334102605,0.145494061916676,1.47462062553645,-0.815343372984393,-0.525535162479158,-0.0589900279601326,1.54907166957855,0.242410139306976,-0.392506175909864,0.851538481297286,0.39752404557334,0.831496754781646,1.46897587868968,1.17727792263031,-0.905937492847443,0.101017090216482,-1.54781093120575,-0.623295440805441,2.16257214546204,0.336722347987901,-0.290104079139025,0.458182816706356,-1.54291033621043,-0.584095128380937,0.131794753805177,1.40857586722498,0.0831869799271766,-0.469657165897803,-0.775746612145107,-0.394814567618225,0.301963205731985,2.57573270797729,0.261253614914553,-0.336083013203053,-0.0862214774670367,NA
"32","1960-08",0.733661198616028,0.179683101311447,-0.369210225571815,-0.538002397445017,-0.807385714460607,0.543042800603622,-0.293527923533991,0.841375672833807,0.0239439176493569,-0.193750431511591,-0.79338526831166,0.0842882495723924,-0.781411597030758,0.0390460643050363,1.46255175788723,-1.22299720237344,-0.719497378856417,0.330993312813913,1.87877893447876,-0.0910684618537435,-0.14706113220686,1.57468068095447,0.952936583095127,0.298720971593376,1.32306237996265,1.63300144672394,-0.545170664787292,0.298059558008804,-1.04979137325287,-0.244104487582861,2.13204717636108,0.171302548381258,-0.830960816275915,0.120948831004423,-0.7344101135848,-0.635332012989579,0.686003740697593,1.50547294899354,-0.205305808753505,-0.706370246646962,0.0443001966456124,-0.498316200395576,0.599945374948045,1.91978633403778,0.258369664126958,-0.114790269935936,0.380190858058956,NA
"33","1960-09",0.193499727547169,0.31833208165912,0.313557045335942,-0.304416759879166,-0.0371441500815848,0.62463818038487,-0.143601858718702,1.41905982543767,-0.0385626263230255,0.224964271075132,-0.338687409377047,0.242595916119517,-0.716498666988718,0.288712313015368,1.0662141469601,-1.27500458568114,-0.934404654162271,0.631008427708521,2.40163087844849,0.505332819103713,0.0505058985861008,1.8758646708261,1.15874841478136,-0.04407392298935,1.55328644252908,1.98009526729584,-0.119723558425903,0.26397934593311,-0.519293947100639,-0.501439381954415,2.04571723937988,0.011072266510608,-0.823257746709322,0.499215026594537,-0.249297357627885,-0.898262265724144,0.954334996304923,1.36587637071911,-0.324555062314102,-0.512829617657157,0.124246833099548,0.387667704425058,1.08590847943795,1.97554004192352,0.156889868775248,-0.316718798808463,0.88553453022402,NA
"34","1960-10",0.57590856552124,0.569721210895762,0.802257675312422,0.100269257953261,0.481335096506076,0.594712646290682,0.238490168018641,1.63459844908425,-0.402890859632508,1.04825712053245,0.231159843573306,0.265352908093749,-0.824800846391528,-0.10648264739412,1.61900925940273,-1.40478649328315,-1.41196546289656,1.22286595375429,3,1.06359325474696,0.844872313507659,1.4604114472023,0.944954638127927,-0.91727250703424,1.71737473779088,2.59295654296875,0.233698651194572,0.146077504610915,-0.0250780222117901,-0.42179398744725,2.74083924293518,0.51466325370179,-0.241091601167548,0.370987389250137,0.168544992098656,-1.07245085059747,1.34411561939276,1.86758217968122,0.0850489275742232,-0.102775593884908,0.00923949654358257,1.02399604010395,1.59738124228221,2.26708197593689,-0.0694941731420696,0.627429392138726,1.13658641348924,NA
"35","1960-11",0.49833198984464,0.860121220820828,0.848959587292922,0.514715522215336,0.989417436536244,0.413525979148104,0.657296525366734,1.77627407411064,-0.273359026481692,1.13557920036377,0.562621513645716,0.749027998102467,-0.558938520909415,-0.0740498993390167,1.58806633210317,-1.25310568897329,-2.07686183187697,1.47319602002494,2.94364309310913,1.5650164654012,1.32844708110806,1.57256859538365,1.29829088846842,-1.2401202439983,1.56948531299842,2.53548693656921,0.331888228654861,0.493899951525489,0.364937822937965,-0.0904494537897045,2.49377751350403,0.181327006324488,0.0336534630161267,0.417362925176263,0.740824959170623,-1.12894062831949,1.48722040625827,2.25354771484789,0.287571743841734,-0.0313998978799673,0.294061604283805,1.23860536158924,1.87216590874379,1.98875606060028,-0.178906573749457,0.84695792228584,1.09278727824953,NA
"36","1960-12",0.329357663790385,0.936241003002232,0.365877876508592,0.0703981104557586,1.08966285677325,0.890482026701285,0.80704487503715,1.42702674195286,-0.645090623984211,0.729690225587107,0.8124230605813,0.812719485134359,-0.236070989359218,0.6590072725464,1.68330361745169,-0.99753485987855,-1.9574144378541,1.30188658181408,2.54454803466797,1.05871277339935,0.961676343631493,1.14189084148052,0.759183843930562,-0.835662013106717,1.58384054937568,2.25906372070312,0.0767636671662331,0.726384085398547,0.392232582449913,0.174757893996988,2.29038381576538,0.298512182232072,0.122817186845673,0.641197153538573,1.06857043547057,-1.07743014533499,1.11727079886707,2.16288934040425,0.286017795615881,0.131883284419205,0.384663674238812,1.00590874445206,1.48337474560563,1.44847214221954,-0.0921255355931026,0.987622651712402,0.946545916879494,NA
"37","1961-01",0.353707222143809,0.95621654138512,0.0898627934236061,-0.318000204456742,1.32472570478383,0.835059291798167,0.601287403942924,1.50815133806888,-1.21948022309103,0.404109999642556,0.746199338229811,0.562510976396455,-0.229151451753504,0.776607094070525,1.37974702108332,-0.908060805947502,-1.88674476979271,1.55513840186581,2.92547202110291,0.890255322852179,0.890334949363868,1.34763757936468,0.720739598627444,-0.542182738267475,1.55774742111481,2.83309650421143,-0.0774144157767296,0.604786188446847,0.710816812038422,0.160652931994411,2.0849609375,0.0568596528922791,-0.0439573015714957,0.676724161589619,1.19028956056293,-1.20273153571383,0.952730375849107,1.68032402126539,0.142499909765597,-0.159548027050003,0.337586986698376,1.14047467981426,1.30661589391296,1.64457666873932,-0.296134390550061,0.794982090045082,0.734528599028075,NA
"38","1961-02",0.466945894559224,0.503341037698603,0.297322535853305,-0.455332376917747,1.51656356693684,0.641960821172951,0.53811744330774,1.19673579473814,0.176148084355028,0.587130781697224,0.907378345581517,0.399143450097743,-0.293974487126235,0.815188545080288,0.817601012416796,-0.845765657702611,-1.64735279953669,1.41134467146208,2.62806367874146,0.619098769190411,0.914417658615164,1.41825259304753,0.78617474216002,-0.349499980253219,1.30733740760164,2.54650187492371,-0.105309136211872,0.508628366660504,0.863564924716949,0.0746859760810638,1.82209479808807,0.016495207989651,-0.46700219449218,0.420914167800535,1.38363917414608,-0.925780268461512,1.03052619710762,1.0381563426902,0.0396486509678259,-0.445998774413029,0.414895066112898,0.922119025750447,1.43783952286448,1.47412180900574,-0.190524138824523,0.753645651729648,0.663883003866732,NA
"39","1961-03",-0.246875897049904,0.137261862069489,-0.0351083190370333,-0.523233548044503,1.45584718116094,0.798386350856115,0.84946614373409,0.913404175211334,-0.655352911431538,0.318133747337032,1.0410388987445,0.485265230385926,0.16040961569063,0.865948903889103,0.317303087818495,-0.451133496667759,-1.38968136197045,0.885059615961296,2.09933590888977,0.350876296610286,0.688884963199476,1.17639061104513,0.351280759330149,-0.242985946416351,0.757508327010087,2.06021571159363,-0.143266662955284,0.655976724695592,0.871539335250854,0.35954886617244,1.04649448394775,0.0350767774102976,-0.661205541657571,0.329856036863011,1.46373268984706,-0.274755167624252,1.09752251335335,0.527440498601338,0.0122442636350981,-0.481306538324209,0.546021693737886,0.488486478256035,1.33965787180779,0.685290277004242,-0.22961534492223,0.944801336086601,0.580424930766721,NA
"40","1961-04",0.425563511252403,-0.144265332114449,0.0533923632405068,-0.462716523483922,1.77120080769138,0.489024757597921,0.930531631424953,1.15889664974448,-0.569070243129605,0.444433144451714,1.32743256662374,0.573713350851005,0.179406869043054,0.702335619112947,0.652054456852638,-0.474599278768668,-1.49079695012834,1.17808713396251,2.24226427078247,0.613552065312185,0.743102475738799,1.4738973718723,0.551717489957809,-0.36215165824484,0.811672959590791,2.19511842727661,-0.323093324899673,0.433442595461954,1.13587197399139,0.281774979007775,1.53692734241486,0.306576137459447,-0.711143213372128,0.108535647469603,1.67241960744389,-0.392370350646765,1.09181411954919,0.727027521844496,0.143954494698817,-0.456462197895825,0.446980941087667,0.707610859244029,1.14314939194283,0.8802450299263,-0.774624801627855,1.09954060301685,0.698589993475935,NA
