DBMSNR	HZBNR	X_LB	Y_LB	q95s	q95w	q95	A	H0	Hx	Hr	Hm	Sm	Ssl	Smo	Sst	P	Ps	Pw	Gb	Gq	Gt	Gf	Gl	Gc	Ggs	Ggd	Gso	Lu	La	Lc	Lg	Lf	Lr	Lwa	D
13	3001039	207993	574051	517705	0.32	0.79	0.47	342.2	243	610	367	427.404	5.5	82.9	17.1	0	517.672	343.264	174.367	53.9	0	6.1	0	0	0	0	40	0	0.7	60	0	1	38.3	0	0	877
14	3001044	208041	591563	520507	0.23	0.47	0.29	213.3	235	460	225	336.733	3.3	96.8	3.2	0	481.748	320.993	160.665	29	4.2	66.8	0	0	0	0	0	0	1	82.1	6.8	1	9.1	0	0	650
15	3001045	208058	608831	511080	0.39	0.48	0.42	379.5	196	434	238	284.673	3.8	95.6	4.4	0	492.07	325.249	166.766	0	3.9	80.7	0	0	0	15.3	0	0	1.2	70.2	0.4	0.2	28	0	0	520
16	3001049	208108	619387	469054	0.89	1.28	0.99	61.5	287	664	377	435.6	10.2	45.8	54.2	0	643	379.7	263.2	0	0	29	7.8	63.2	0	0	0	0	2.5	16.2	0	12.5	68.7	0	0	693
17	3001080	208447	634289	505227	0.33	0.72	0.39	129.5	187	375	188	272.6	5	88.9	11.1	0	493.5	309.4	184.1	0	4.5	79.1	16.3	0	0	0	0	0	2	77.9	0	0	20	0	0	567
18	3001083	208512	527049	550719	0.79	1.73	0.97	64.8	533	696	163	593.4	5.4	88.3	11.7	0	629.4	408.7	220.7	100	0	0	0	0	0	0	0	0	0	52.3	0	2.7	44.7	0	0.3	924
19	3001085	208579	523122	542701	0.81	1.45	0.9	223.4	500	709	209	582.148	4.2	94.1	5.9	0	627.512	410.684	216.907	96.9	0	2.7	0	0	0	0	0.4	0	0.9	55.6	0	3.9	39	0	0.5	799
20	3001088	208611	541590	539792	0.62	1.19	0.71	175.2	510	682	172	587.1	2.8	99.4	0.6	0	615.9	403.4	212.5	83.8	0	16.2	0	0	0	0	0	0	0	72.5	0	1.9	25.6	0	0	747
21	3001090	208637	614031	539653	0.09	0.33	0.12	369.7	184	548	364	321.085	3.9	92.7	7.3	0	467.056	311.699	155.333	29.2	2.8	55.1	0	0	0	0	12.8	0	0.7	60.8	20.3	0.8	17.3	0	0	670
22	3001094	208678	642626	508719	0.73	0.83	0.75	68.9	188	298	110	231.9	3.4	98.5	1.5	0	492.1	303.4	188.7	0	2.7	97.3	0	0	0	0	0	0	1.6	89.3	2.7	0.8	5.5	0	0	357
23	3001107	208835	610061	420986	2.74	4.15	3.25	65	351	907	556	626.8	13.2	23.7	76	0.4	796.6	529	267.4	0	10.6	11.6	0	7.7	70.1	0	0	0	0.1	40.7	0	12.6	46.6	0	0	915
24	3001135	209189	660600	525512	0.52	0.76	0.57	514.9	159	473	314	259.527	4	95.9	4.1	0	485.577	305.492	180.085	0	4.4	78.4	0.1	0	0	11.4	0.8	5	1.7	77	4.5	0.1	16.7	0.1	0	531
25	6001049	210989	594405	342880	3.44	3.18	3.29	191.6	272	517	245	381.1	9.1	50.1	50	0	767.2	508	259.2	0	3.5	77.1	0	0	0	19.5	0	0	0.4	50.1	0	9.7	39.9	0	0	1063
26	6001051	211003	608498	371252	2.51	5.4	3.41	101	300	871	571	428.987	5.9	81.3	18.7	0	726.305	493.896	232.611	0	10.1	41	0	0	14.1	34.8	0	0	0.2	63.5	0	0	36.3	0	0	950
27	6001054	211037	598054	356961	0.94	1.56	1.09	189.5	287	949	662	413.7	10.9	40.2	59.3	0.4	745.2	503.9	241.4	0	2.3	75.8	0	2.5	3.5	15.8	0.1	0	0	47	0	17.4	35.6	0	0	1018
28	6001055	211045	603107	354848	2.81	2.47	3.23	196.3	262	1235	973	471.4	10.7	54.9	42.7	2.4	736.6	497.9	238.6	0	3.7	37.3	0	1.7	30.3	22.4	4.5	0	0	38.4	0	19	42.2	0.2	0.3	1049
29	6001097	211474	578267	319796	0.53	1	0.62	131	260	486	226	351.7	8.1	59.6	40.4	0	799.3	520.7	278.6	0	30.4	68.2	0	0	0	1.5	0	0	0	60.6	0	2.9	36.5	0	0	949
30	6001100	211508	592343	317734	0.73	2.04	0.96	119.9	226	444	218	320.8	8.9	51.7	48.3	0	778.2	501	277.1	0	17	77.1	0	0	0	3.6	2.3	0	0	65	0	3.2	31.8	0	0	953
